,2024-07-01,2024-07-02,2024-07-03,2024-07-04,2024-07-05,2024-07-06,2024-07-07,2024-07-08,2024-07-09,2024-07-10,2024-07-11,2024-07-12,2024-07-13,2024-07-14,2024-07-15,2024-07-16,2024-07-17,2024-07-18,2024-07-19,2024-07-20,2024-07-21,2024-07-22,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-27,2024-07-28,2024-07-29,2024-07-30,2024-07-31,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-24,2024-08-25,2024-08-26,2024-08-27,2024-08-28,2024-08-29
Chalet Les Méandres (ex Tupilak),9,22,22,22,20,21,24,23,10,24,23,8,25,22,23,24,25,25,25,23,25,25,24,25,25,19,24,25,25,25,25,25,25,24,25,25,25,24,25,24,25,25,25,25,25,25,25,25,25,19,25,25,23,25,25,23,24,23,10,11
Gîte Michel Fagot,8,11,6,4,11,4,12,12,12,6,10,8,8,9,0,10,10,6,10,10,13,12,10,15,10,12,12,13,8,10,17,8,12,12,13,12,8,12,16,13,13,16,12,12,8,15,12,15,10,12,15,15,15,17,12,9,9,11,12,10
Refuge du Fioux,12,16,8,18,18,9,19,10,14,15,18,20,0,8,14,19,16,18,20,20,15,18,14,14,18,20,8,6,10,18,17,8,20,5,0,20,8,17,20,20,7,3,16,20,20,20,20,20,20,5,16,17,20,15,10,10,10,20,18,18
Auberge du Truc,20,5,21,1,3,0,12,12,0,11,5,17,12,1,3,6,2,3,16,10,16,2,0,15,10,7,21,11,10,18,14,20,15,16,1,8,0,10,2,3,3,6,7,13,16,10,16,21,2,12,6,7,8,5,22,6,10,19,6,22
La Ferme à Piron,2,5,7,8,0,0,0,0,0,7,7,4,0,0,0,6,8,0,13,0,0,0,0,2,0,3,8,4,0,7,11,11,3,0,0,0,2,12,14,14,8,6,14,13,8,14,14,8,8,3,0,12,6,14,6,0,0,11,0,0
Gîte les Mélèzes,0,0,0,6,2,0,0,1,0,0,0,1,0,0,1,3,0,0,2,0,0,3,0,0,0,6,0,1,5,0,0,0,2,9,0,3,1,0,4,9,8,0,0,8,0,1,2,9,10,0,3,0,2,4,4,0,8,2,0,2
Gîte le Pontet,20,55,46,43,16,1,0,3,26,48,43,1,40,0,3,30,47,19,31,1,21,0,47,50,50,48,7,3,25,45,58,24,30,6,1,8,52,31,60,43,48,7,24,54,56,43,24,37,23,0,44,57,51,56,64,23,40,56,61,51
Refuge de Nant Borrant,0,0,0,0,0,0,0,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,6,0,0,4,2,6,6,6,2,4,4,1,6,6,6,0,2,5,0,3,6,2,0,0,6,4,5,6,0,6,4,6,6,0
Refuge des Prés,4,6,1,2,14,1,3,4,6,5,0,5,1,7,1,2,13,3,7,0,10,7,11,14,10,16,14,16,6,0,9,13,6,0,16,6,16,3,8,11,13,3,8,14,16,4,10,0,0,14,12,15,10,16,16,10,16,13,12,16
Refuge de la Balme,6,0,9,14,20,0,23,13,20,3,16,13,21,17,11,1,25,8,20,20,21,0,20,29,10,13,27,25,22,5,29,29,35,8,20,3,21,39,22,30,25,4,18,31,30,16,25,6,27,17,27,24,19,30,27,28,22,19,36,20
