,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30,2024-07-01,2024-07-02,2024-07-03,2024-07-04,2024-07-05,2024-07-06,2024-07-07,2024-07-08,2024-07-09,2024-07-10,2024-07-11,2024-07-12,2024-07-13,2024-07-14,2024-07-15,2024-07-16,2024-07-17,2024-07-18,2024-07-19,2024-07-20,2024-07-21,2024-07-22,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-27,2024-07-28,2024-07-29,2024-07-30,2024-07-31,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-24,2024-08-25,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30,2024-08-31,2024-09-01,2024-09-02,2024-09-03,2024-09-04,2024-09-05,2024-09-06,2024-09-07,2024-09-08,2024-09-09,2024-09-10,2024-09-11,2024-09-12,2024-09-13,2024-09-14,2024-09-15,2024-09-16,2024-09-17,2024-09-18,2024-09-19,2024-09-20,2024-09-21,2024-09-22,2024-09-23,2024-09-24,2024-09-25,2024-09-26,2024-09-27,2024-09-28
Chalet Les Méandres (ex Tupilak),25,25,23,24,25,20,25,24,25,24,22,25,24,23,23,25,24,25,20,20,23,23,15,25,23,23,26,24,10,23,22,22,25,23,23,21,24,21,21,20,23,24,20,22,23,24,25,23,25,23,25,25,24,25,25,26,24,25,25,25,25,25,25,24,25,25,25,24,25,24,25,25,25,25,25,25,25,25,25,24,25,25,24,25,25,23,24,21,10,11,8,0,25,25,25,25,23,25,25,25,25,25,25,24,25,21,25,25,17,25,25,25,21,25,25,25,25,25,25,25
Gîte Michel Fagot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,13,12,12,15,11,13,11,11,10,15,12,4,10,9,10,11,12,12,11,4,12,2,12,10,10,13,8,9,0,10,10,9,10,10,12,12,3,15,10,12,12,13,12,10,17,8,12,10,13,12,10,10,16,11,2,16,12,12,8,15,11,15,10,12,15,15,15,17,12,10,10,12,12,10,10,10,10,17,10,10,8,14,12,10,15,17,16,8,17,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Refuge du Fioux,5,20,20,20,19,20,20,18,18,20,18,14,18,8,6,4,8,18,20,13,18,17,11,13,19,20,20,4,3,4,12,16,8,14,18,4,19,10,8,15,18,20,0,3,14,19,16,18,11,20,15,18,14,14,18,20,8,6,10,18,17,8,20,5,10,20,8,17,20,20,2,3,16,20,20,20,20,20,20,5,16,17,20,15,10,10,10,20,18,18,20,20,14,18,18,20,16,5,5,6,11,5,8,11,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auberge du Truc,0,0,0,0,0,0,0,0,20,8,18,9,8,16,6,10,2,14,0,18,15,4,6,0,11,0,0,2,3,8,20,2,19,0,3,0,12,12,0,7,5,17,12,1,3,6,0,0,16,10,16,2,0,10,6,3,17,11,6,14,10,20,11,11,1,3,0,1,2,3,1,3,3,9,8,6,8,17,0,7,4,0,8,1,18,0,6,15,1,17,14,14,4,0,13,14,11,13,9,9,14,14,10,0,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Ferme à Piron,0,0,0,12,0,0,14,14,10,10,0,13,14,9,0,8,14,12,14,11,9,0,0,12,2,14,8,9,0,0,2,5,5,8,0,0,0,0,0,7,4,4,0,0,0,6,8,0,12,0,0,0,0,0,0,3,8,4,0,5,11,11,3,0,0,0,2,12,14,14,8,0,14,13,8,14,14,8,8,3,0,12,6,14,6,0,0,11,0,0,0,0,3,8,0,0,10,14,6,0,10,0,14,14,0,0,0,14,14,14,0,0,0,0,0,0,0,0,0,0
Gîte les Mélèzes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,2,1,0,0,0,1,3,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,3,0,0,0,0,0,2,0,0,0,6,0,1,3,0,0,0,2,9,0,3,1,0,4,9,8,0,2,8,0,1,2,9,8,0,3,0,2,4,0,0,6,2,0,2,10,1,0,2,0,0,6,8,5,2,2,5,0,6,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gîte le Pontet,64,61,63,64,64,64,44,52,59,52,64,62,46,41,40,30,31,62,62,51,19,38,3,9,37,46,38,3,5,1,13,53,46,43,16,1,0,3,15,48,41,1,40,0,3,41,40,17,27,1,21,0,47,44,42,48,7,3,25,45,58,22,30,26,1,8,52,31,54,27,44,7,22,54,56,41,24,37,18,0,44,64,50,56,64,23,40,56,61,51,32,29,2,0,7,28,47,30,23,18,9,60,48,61,8,33,6,52,54,64,64,46,64,58,64,64,64,48,50,64
Refuge de Nant Borrant,0,0,0,0,6,5,6,6,5,4,6,4,0,5,1,0,0,6,6,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,7,0,0,4,2,6,4,4,0,4,3,1,6,5,2,0,2,5,0,4,6,2,0,0,6,3,5,6,4,6,6,6,6,4,6,0,0,0,4,4,0,0,0,6,5,2,6,6,6,6,4,6,6,6,6,6,6,6,6,6,0,0,0,0
Refuge des Prés,0,0,0,0,0,0,0,16,16,16,5,7,4,4,0,2,16,0,9,8,13,12,0,1,5,16,1,0,8,0,4,0,1,2,12,1,3,4,6,5,0,5,1,7,1,2,13,3,5,0,10,7,2,14,10,16,14,16,1,0,5,13,6,0,16,6,16,3,6,11,13,3,8,14,16,4,10,0,0,14,8,15,7,16,16,10,16,13,12,15,14,16,16,6,14,10,12,6,3,13,0,2,10,11,10,12,6,16,16,16,16,16,16,16,16,16,16,16,16,16
Refuge de la Balme,0,0,0,0,0,0,0,0,0,0,0,0,15,29,20,23,2,20,25,15,32,12,20,0,20,18,4,0,20,9,4,0,7,11,11,0,16,5,20,1,10,10,21,17,0,1,17,8,2,20,17,0,20,29,9,13,27,25,22,5,30,26,35,8,20,3,21,35,22,26,23,0,12,22,30,22,25,9,27,14,24,24,19,30,24,28,22,17,36,22,0,30,34,20,26,31,33,0,21,29,10,10,37,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
