,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30,2024-07-01,2024-07-02,2024-07-03,2024-07-04,2024-07-05,2024-07-06,2024-07-07,2024-07-08,2024-07-09,2024-07-10,2024-07-11,2024-07-12,2024-07-13,2024-07-14,2024-07-15,2024-07-16,2024-07-17,2024-07-18,2024-07-19,2024-07-20,2024-07-21,2024-07-22,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-27,2024-07-28,2024-07-29,2024-07-30,2024-07-31,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-24,2024-08-25,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30,2024-08-31,2024-09-01,2024-09-02,2024-09-03,2024-09-04,2024-09-05,2024-09-06,2024-09-07,2024-09-08,2024-09-09,2024-09-10,2024-09-11,2024-09-12,2024-09-13,2024-09-14,2024-09-15,2024-09-16,2024-09-17,2024-09-18,2024-09-19,2024-09-20,2024-09-21,2024-09-22,2024-09-23,2024-09-24,2024-09-25,2024-09-26,2024-09-27,2024-09-28
Chalet Les Méandres (ex Tupilak),25,25,23,24,25,20,25,23,25,23,20,25,23,19,23,22,24,19,20,13,22,21,15,21,23,23,25,24,6,19,22,22,23,23,20,16,24,19,21,20,23,24,20,22,21,22,24,23,25,23,25,25,24,25,25,26,19,25,25,25,25,25,25,22,22,19,25,24,25,24,25,25,25,25,25,21,25,25,25,24,25,25,24,25,25,23,24,21,10,11,8,0,25,25,25,25,23,21,24,25,25,25,25,24,24,17,25,25,17,25,25,25,21,25,25,23,25,25,25,25
Gîte Michel Fagot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,9,10,15,11,6,7,6,7,15,8,10,1,10,5,10,12,12,11,0,6,12,11,10,10,13,8,10,0,7,10,10,8,10,12,12,10,15,10,10,7,13,11,10,17,10,12,12,8,12,10,12,16,12,12,16,12,12,10,14,10,14,8,12,15,13,15,16,10,10,10,12,4,10,4,4,10,17,12,10,10,6,12,10,15,17,16,6,17,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Refuge du Fioux,5,20,20,20,19,16,20,18,18,20,12,14,18,8,6,4,6,18,18,13,18,16,11,9,19,20,20,2,0,0,12,16,8,14,18,4,17,8,8,15,18,20,0,3,13,15,16,18,11,19,15,18,6,14,16,20,8,6,10,18,17,8,14,2,2,20,6,17,20,18,2,3,16,20,20,20,20,20,20,5,10,17,20,15,10,10,10,20,18,18,20,20,14,18,18,20,12,5,5,6,7,5,8,11,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auberge du Truc,0,0,0,0,0,0,0,0,20,6,16,9,8,14,5,8,0,14,0,18,14,4,2,0,1,0,0,1,1,6,20,1,19,0,1,0,12,12,0,7,3,17,12,1,3,5,0,0,14,6,16,0,0,10,6,3,17,6,6,12,7,20,0,11,1,3,0,1,2,3,1,3,3,1,2,4,8,15,0,5,4,0,4,0,18,0,2,15,1,11,14,14,0,0,4,12,11,13,9,9,8,14,9,0,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Ferme à Piron,0,0,0,12,14,14,14,14,10,9,14,13,14,8,0,8,14,12,14,11,9,0,0,6,2,11,8,9,0,0,0,2,3,8,0,0,0,0,0,7,4,4,0,0,0,6,8,0,12,0,0,0,0,0,0,3,8,4,0,5,7,6,3,0,0,14,0,12,14,14,5,6,14,13,8,14,14,8,8,2,0,6,6,14,5,14,14,11,0,0,0,0,4,8,0,0,10,14,6,0,6,0,14,14,14,14,14,14,14,4,0,0,0,0,0,0,0,0,0,0
Gîte les Mélèzes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,6,0,1,3,0,0,0,2,9,0,3,1,0,2,9,6,0,2,6,0,1,2,7,8,0,1,0,2,4,0,0,6,2,0,2,10,1,0,0,0,0,2,8,5,0,0,5,0,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gîte le Pontet,64,54,63,64,64,64,44,52,57,52,64,57,44,39,32,24,26,58,59,46,0,33,3,3,30,38,33,0,0,1,5,50,46,40,14,0,0,3,15,47,41,1,40,0,3,33,36,16,27,1,15,0,47,43,36,19,7,3,25,45,58,22,30,26,1,3,52,27,54,27,43,7,14,54,56,40,20,35,12,0,44,63,50,32,62,23,40,56,61,41,32,29,2,0,1,28,45,24,20,10,9,55,45,61,6,33,3,50,54,64,64,46,64,52,64,64,64,48,50,64
Refuge de Nant Borrant,0,0,0,0,0,10,10,10,8,10,9,2,0,2,1,0,0,4,3,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,6,4,4,0,4,3,1,6,7,4,0,2,6,0,6,6,0,0,0,6,0,5,6,4,4,5,6,6,0,6,0,0,0,4,4,0,0,0,6,3,0,4,5,6,6,4,10,10,8,10,10,10,10,10,10,10,0,0,0
Refuge des Prés,0,0,0,0,0,0,0,16,16,16,3,1,1,4,0,0,16,0,9,8,13,12,0,0,5,4,1,0,8,0,4,0,1,2,12,1,3,4,5,3,0,5,0,5,1,2,9,3,5,0,6,3,1,4,10,16,2,4,0,0,0,13,6,0,16,2,16,3,5,11,9,3,8,14,16,4,7,0,0,11,8,15,7,16,16,10,16,13,12,15,6,16,16,6,12,8,12,4,3,12,0,2,1,11,10,8,5,12,16,16,16,16,15,16,16,16,16,16,16,16
Refuge de la Balme,0,0,0,0,0,0,0,0,0,0,0,0,13,29,18,19,2,13,25,6,29,1,3,2,15,11,4,0,0,5,0,0,1,7,1,0,12,3,14,1,8,9,21,14,0,1,10,3,0,18,16,0,15,24,5,13,21,19,8,5,25,21,35,10,20,0,14,29,13,26,18,0,12,19,30,20,20,4,27,12,22,22,19,28,23,25,22,17,36,13,0,28,34,18,26,29,33,0,8,29,1,8,33,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auberge-Refuge de la Nova,0,0,0,0,0,0,26,22,31,23,13,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,5,15,23,24,0,0,0,0,0,0,0,0
Les Chambres du Soleil,18,24,10,25,22,0,12,21,13,22,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,10,13,24,8,14,6,0,8,24
Refuge des Mottets,0,0,0,0,0,0,0,0,0,0,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,10,0,0,0,0,0,0,0,0
Gîte Mermoud,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,10,10,10,10,8,10,10,10,0,10,0,2,8,10,10,10,10,10,5,6,7,4,10,10,10,5,9,10,9,10,8,8,0,4,10,10,8,10,5,8,8,10,10,6,10,10,7,4,8,10,10,10,10,10,6,10,7,10,8,10,10,10,10,10,10,10,9,0,0,0,0,0,0,0,0,0,0,10,10,10,10,6,10,8,0,6,10,8,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
