,2025-06-01,2025-06-02,2025-06-03,2025-06-04,2025-06-05,2025-06-06,2025-06-07,2025-06-08,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-13,2025-06-14,2025-06-15,2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-21,2025-06-22,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-06-27,2025-06-28,2025-06-29,2025-06-30,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16,2025-07-17,2025-07-18,2025-07-19,2025-07-20,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25,2025-07-26,2025-07-27,2025-07-28,2025-07-29,2025-07-30,2025-07-31,2025-08-01,2025-08-02,2025-08-03,2025-08-04,2025-08-05,2025-08-06,2025-08-07,2025-08-08,2025-08-09,2025-08-10,2025-08-11,2025-08-12,2025-08-13,2025-08-14,2025-08-15,2025-08-16,2025-08-17,2025-08-18,2025-08-19,2025-08-20,2025-08-21,2025-08-22,2025-08-23,2025-08-24,2025-08-25,2025-08-26,2025-08-27,2025-08-28,2025-08-29,2025-08-30,2025-08-31,2025-09-01,2025-09-02,2025-09-03,2025-09-04,2025-09-05,2025-09-06,2025-09-07,2025-09-08,2025-09-09,2025-09-10,2025-09-11,2025-09-12,2025-09-13,2025-09-14,2025-09-15,2025-09-16,2025-09-17,2025-09-18,2025-09-19,2025-09-20,2025-09-21,2025-09-22,2025-09-23,2025-09-24,2025-09-25,2025-09-26,2025-09-27,2025-09-28
Chalet Les Méandres (ex Tupilak),30,30,30,30,30,30,30,30,30,30,30,30,26,21,30,30,30,29,30,28,25,19,30,30,0,0,0,0,0,0,32,35,33,35,31,25,34,33,35,32,33,30,24,35,34,34,34,35,34,31,27,28,30,29,35,35,35,32,35,33,35,35,35,35,35,35,35,33,35,29,29,33,32,35,35,32,30,28,35,30,35,30,33,31,33,33,33,29,31,29,28,35,29,35,35,35,33,35,30,27,35,35,35,35,35,35,31,35,35,30,33,35,35,35,35,35,35,35,35,35
Gîte Michel Fagot,0,0,0,0,0,0,23,27,27,27,27,25,24,27,27,22,21,25,22,27,27,23,22,25,17,15,16,19,27,15,18,27,17,23,19,16,19,27,15,14,25,20,22,16,23,21,24,25,20,23,27,23,27,23,27,18,27,18,20,27,19,25,27,19,20,27,21,25,22,24,27,20,23,15,26,25,22,23,23,25,21,27,27,18,24,24,25,21,25,22,25,26,21,25,25,25,27,21,27,27,25,25,27,20,23,17,27,27,27,23,27,25,27,27,27,27,27,27,0,0
Refuge du Fioux,22,22,22,22,20,20,21,22,22,22,22,22,16,9,4,16,19,16,21,12,10,22,22,22,16,7,22,7,7,22,2,20,15,22,0,20,21,15,18,13,22,9,2,18,19,9,19,19,22,12,20,14,15,22,19,3,3,19,16,22,22,22,8,22,21,21,22,19,22,0,0,20,22,22,10,20,18,22,21,17,19,17,18,0,3,22,22,22,18,20,9,22,19,22,22,18,20,8,9,20,22,22,18,15,0,7,22,22,22,22,22,22,0,0,0,0,0,0,0,0
Auberge du Truc,0,0,0,0,0,0,0,0,0,15,15,15,15,0,7,2,15,17,14,12,3,7,15,7,18,14,18,17,13,7,11,23,17,8,14,11,11,16,14,16,20,16,10,13,10,16,11,6,10,12,23,7,25,23,19,0,24,16,22,16,15,0,20,18,15,11,16,18,20,12,15,10,7,22,18,9,22,18,8,8,20,20,22,22,15,14,18,13,13,3,22,20,7,4,15,8,10,15,4,6,4,15,15,15,0,15,15,13,8,0,0,0,0,0,0,0,0,0,0,0
La Ferme à Piron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,14,12,14,0,2,14,14,8,12,14,0,3,12,0,3,0,0,2,2,6,1,8,6,12,0,2,0,0,7,0,11,2,0,13,6,12,13,10,0,0,6,14,6,12,8,3,1,14,14,11,2,3,0,2,2,12,12,12,5,0,5,6,14,12,14,8,0,4,14,0,14,14,0,2,4,10,0,0,14,8,0,1,14,14,14,14,14,0,8,11,14,14,14,14,8,8,10,10,10,10,0,0,0
Gîte les Mélèzes,0,0,0,0,0,0,0,0,0,0,0,8,10,1,0,2,7,0,7,3,0,0,4,2,0,5,3,4,0,1,0,0,5,0,0,0,0,1,0,4,0,0,0,0,0,10,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,6,0,6,10,2,0,0,6,0,10,1,0,0,0,6,0,1,7,3,0,4,8,0,4,6,2,5,0,0,0,5,0,0,0,4,0,0,10,8,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gîte le Pontet,72,72,69,72,72,60,43,68,58,72,72,64,52,52,17,34,71,54,52,27,23,17,23,70,54,40,30,34,20,17,21,39,31,11,20,9,26,46,40,58,43,24,14,2,61,42,12,8,0,18,11,35,48,56,66,23,11,27,70,22,33,36,16,8,15,40,50,32,62,22,19,27,71,44,50,39,40,13,33,57,59,45,41,23,43,29,65,48,56,52,36,41,18,42,25,46,49,19,8,36,72,72,58,49,57,41,45,72,72,48,66,72,72,70,72,72,72,72,72,72
Refuge de Nant Borrant,0,0,0,0,10,10,10,9,10,10,10,10,10,10,6,6,1,8,2,7,5,0,0,7,2,0,2,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,5,5,2,2,4,6,0,1,8,2,2,9,1,0,8,0,0,6,0,0,0,5,10,5,2,10,0,0,6,7,3,0,2,2,0,6,6,8,7,2,6,2,3,7,10,8,0,0,0,0,0,4,7,4,0,0,7,1,2,8,10,10,8,10,10,10,10,10,10,0,0,0,0,0,0,0
Refuge des Prés,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,8,14,13,16,7,1,16,16,14,10,6,5,12,10,14,10,1,12,11,10,6,1,0,0,6,6,12,8,0,8,16,7,16,16,16,8,14,16,14,1,7,16,9,11,15,15,14,8,13,14,13,16,16,14,14,5,16,16,16,16,16,3,9,13,4,16,2,16,2,8,12,12,16,16,11,2,16,6,10,14,16,16,14,16,12,14,1,10,16,0,12,16,9,16,16,16,16,16,16,16,16,16,16,16,16
Refuge de la Balme,0,0,0,0,0,0,0,0,0,0,0,0,34,30,16,10,26,34,27,36,13,0,15,24,22,22,11,1,0,12,27,5,29,9,5,5,11,0,18,13,0,15,9,17,21,21,36,5,19,26,13,24,17,17,31,21,23,11,17,30,20,18,9,28,8,26,22,28,17,33,7,16,14,34,33,32,31,8,15,24,15,17,34,20,30,24,23,38,33,0,28,28,17,20,18,37,30,28,2,35,24,30,21,25,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
