,mon_name,mon_url,id,mon2au,au_name,location,au_url,au_name_alt,lg,lt
0,Chalet Les Méandres (ex Tupilak),https://www.montourdumontblanc.com/uk/il4-refuge_i39948-chalet-les-meandres-ex-tupilak.aspx,39948.0,Chalet Les Méandres,Chalet Les Méandres,Les Houches (fr),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/chalet-les-meandres,Chalet Les Méandres,6.7994213,45.900577
1,Gîte Michel Fagot,https://www.montourdumontblanc.com/uk/il4-refuge_i32369-gite-michel-fagot.aspx,32369.0,Gîte Michel Fagot,Gîte Michel Fagot,Les Houches (fr),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/gite-michel-fagot,Gite Michel Fagot,6.7978201,45.8903274
2,Refuge du Fioux,https://www.montourdumontblanc.com/uk/il4-refuge_i32356-refuge-du-fioux.aspx,32356.0,Refuge du Fioux,Refuge du Fioux,Les Houches (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/refuge-du-fioux,Refuge du Fioux,6.760269900000001,45.8720986
3,Auberge du Truc,https://www.montourdumontblanc.com/uk/il4-refuge_i32365-auberge-du-truc.aspx,32365.0,Auberge du Truc,Auberge du Truc,Saint Gervais les Bains (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/auberge-du-truc,Truc,6.7491891,45.83663050000001
4,La Ferme à Piron,https://www.montourdumontblanc.com/uk/il4-refuge_i127958-la-ferme-a-piron.aspx,127958.0,La Ferme à Piron,,,,,6.7253277890542318,45.815671385689718
5,Gîte les Mélèzes,https://www.montourdumontblanc.com/uk/il4-refuge_i123462-gite-les-melezes.aspx,123462.0,Gîte les Mélèzes,,,,,6.72812,45.81234
6,Gîte le Pontet,https://www.montourdumontblanc.com/uk/il4-refuge_i39797-gite-le-pontet.aspx,39797.0,Gîte le Pontet,Gîte le Pontet,Les Contamines (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/gite-le-pontet,Gîte le Pontet,6.7216802,45.8028013
7,Refuge de Nant Borrant,https://www.montourdumontblanc.com/uk/il4-refuge_i32362-refuge-de-nant-borrant.aspx,32362.0,Refuge de Nant Borrant,Refuge de Nant Borrant,Les Contamines (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/refuge-de-nant-borrant,Refuge Nant Borrant,6.714341,45.778214
8,Refuge des Prés,https://www.montourdumontblanc.com/uk/il4-refuge_i116702-refuge-des-pres.aspx,116702.0,Refuge des Prés,Refuge des Prés,Les Contamines (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/refuge-des-pres,Refuge des Prés,6.7015633,45.7631401
9,Refuge de la Balme,https://www.montourdumontblanc.com/uk/il4-refuge_i32361-refuge-de-la-balme.aspx,32361.0,Refuge de la Balme,Refuge de la Balme,Les Contamines (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/refuge-de-la-balme,Refuge de la Balme,6.711034499999999,45.7573943
10,Auberge-Refuge de la Nova,https://www.montourdumontblanc.com/uk/il4-refuge_i32367-auberge-refuge-de-la-nova.aspx,32367.0,Auberge de La Nova,Auberge de La Nova,Les Chapieux (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/auberge-de-la-nova,Auberge de la Nova,6.733873558197003,45.69658279623073
11,Les Chambres du Soleil,https://www.montourdumontblanc.com/uk/il4-refuge_i116701-les-chambres-du-soleil.aspx,116701.0,Les Chambres du Soleil,Les Chambres du Soleil,Les Chapieux (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/les-chambres-du-soleil,Les Chambres du Soleil,6.7339547,45.6969308
12,Refuge des Mottets,https://www.montourdumontblanc.com/uk/il4-refuge_i32368-refuge-des-mottets.aspx,32368.0,Refuge des Mottets,Refuge des Mottets,Bourg Saint Maurice (F),https://www.autourdumontblanc.com/en/accomodations/list-of-accommodation/refuge-des-mottets,Refuge des Mottets,6.7792604,45.7370706
